@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

a-b,3,9,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000002,0.000006,0.000421,0.001237,16.02693,0.000049,16.026881,1.001683,0.000003,1.00168,16.026881,1.00168,1605.388048,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.011,0.001,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,3,10,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,144,15,15,0,0,100,0,0,1,0.010774,0.041729,2.16082,8.361754,14.958967,0.254319,14.704648,0.997264,0.016955,0.98031,14.704648,0.98031,1472.258874,1,8,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.011,0,0.01,0,10,0,7676,14772,2775,100,53.333333,?,?,?
a-b,4,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.062503,0.25,12.554727,50.186833,15.914196,98.705794,-82.791598,0.994637,6.169112,-5.174475,13.912409,0.869526,1392.435468,0.888889,8,0,0,1,7,0.111111,1,1,0.888889,0.941176,0.881917,0.984127,0.988889,0.9375,0.048611,0.951389,0.0625,0.945313,0.9375,0.937745,0.881917,0.963294,0.932366,0.937255,0.9375,0.009,0,0.01,0,10,0,7676,14679,2868,93.75,50,?,?,?
a-b,4,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000003,0.000014,0.000688,0.00275,15.914196,0.000079,15.914117,0.994637,0.000005,0.994632,15.914117,0.994632,1592.778142,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.006,0.001,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,4,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.01912,0.076479,3.840499,15.352935,15.914196,0.526817,15.387379,0.994637,0.032926,0.961711,15.387379,0.961711,1540.059122,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.009,0.001,0.01,0,10,0,7676,14679,2868,100,53.125,?,?,?
a-b,4,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000418,0.00137,0.08353,0.273601,16.02693,0.009662,16.017267,1.001683,0.000604,1.001079,16.017267,1.001079,1604.42504,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.009,0.001,0,0,0,0,7676,14679,2868,100,50,?,?,?
a-b,4,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0,0.000001,0.000031,0.0001,16.02693,0.000004,16.026926,1.001683,0,1.001683,16.026926,1.001683,1605.392559,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.007,0,0,0,0,0,7676,14679,2868,100,50,?,?,?
a-b,4,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.003326,0.013266,0.665234,2.650212,16.02693,0.078885,15.948045,1.001683,0.00493,0.996753,15.948045,0.996753,1597.491171,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.011,0,0.01,0,10,0,7676,14679,2868,100,53.125,?,?,?
a-b,4,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.052668,0.200847,10.533687,40.12277,16.02693,2.398586,13.628344,1.001683,0.149912,0.851772,14.281846,0.892615,1430.590518,1,8,0.125,1,0.875,7,0,0,0.888889,1,0.941176,0.881917,1,1,0.9375,0.0625,0.9375,0.0625,0.944444,0.9375,0.937255,0.881917,1,1,0.937255,0.9375,0.01,0,0.01,0,10,0,7676,14679,2868,100,53.125,?,?,?
a-b,4,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.074494,0.215716,14.898895,43.093022,16.02693,2.774529,13.252401,1.001683,0.173408,0.828275,13.58122,0.848826,1360.40998,0.875,7,0,0,1,8,0.125,1,1,0.875,0.933333,0.881917,0.984375,0.986111,0.9375,0.0625,0.9375,0.0625,0.944444,0.9375,0.937255,0.881917,0.984375,0.986111,0.937255,0.9375,0.007,0,0.01,0,10,0,7676,14679,2868,100,56.25,?,?,?
